Name,Source,Version,Info,
7zip,self,24.09,,
adb,main,35.0.2,,
chatwise,self,0.8.47,,
cubox,self,0.2.6,,
dark,main,3.14.1,,
ente,self,4.3.5,,
everything,extras,1.4.1.1026,,
ffmpeg,main,7.1.1,,
folo,self,0.4.4,,
geekuninstaller,extras,1.5.2.165,,
gh,main,2.72.0,,
go,main,1.24.2,,
innounp,main,2.64.3,,
kugou,self,20.0.41,,
lessmsi,main,2.7.0,,
localsend,self,1.17.0,main,计数项:main
Maple-Mono-NF-CN,nerd-fonts,7,self,16
Micro,main,2.0.14,main,13
mingit,self,2.49.0,extras,5
msys2,self,2025/2/21,nerd-fonts,1
nodejs-lts,main,22.15.0,总计,35
notion,extras,4.10.0,,
pdfgear,self,2.1.12,,
pikpak,self,latest,,
pwsh,main,7.5.1,,
python,main,3.13.2,,
regscanner,self,2.75,,
sudo,main,0.2020.01.26,,
telegram,extras,5.13.1,,
typora,self,1.10.8,,
uutils-coreutils,self,0.0.30,,
uv,main,0.7.2,,
v2rayn,self,7.11.3,,
vlc,extras,3.0.21,,
vscode,self,1.99.3,,
weixin,self,latest,,
yt-dlp,main,2025.03.31,,
